,step,agent_num,mean_q_loss,mean_exp_return
604,211,1,6.1832204,15.464174
605,211,2,6.250654,15.041037
606,212,0,14.318258,12.752935
607,212,1,9.16927,15.802886
608,212,2,16.229046,16.497818
609,213,0,3.8240569,12.976292
610,213,1,7.209522,12.931405
611,213,2,4.995702,13.990419
612,214,0,4.229135,17.31069
613,214,1,18.506985,16.746475
614,214,2,3.1413136,15.853829
615,215,0,23.12954,20.081554
616,215,1,5.2183905,16.399036
617,215,2,4.6692295,16.66319
618,216,0,11.702465,15.295361
619,216,1,2.4469306,13.142365
620,216,2,5.472933,13.676115
621,217,0,14.737022,13.745096
622,217,1,16.164612,15.993233
623,217,2,3.7918482,12.24538
624,218,0,3.689456,15.36504
625,218,1,3.6969843,19.67493
626,218,2,3.8559685,14.938826
627,219,0,19.014702,11.700898
628,219,1,4.029901,16.885002
629,219,2,3.419045,10.612314
630,220,0,5.672786,12.771495
631,220,1,27.49488,14.481089
632,220,2,8.908134,16.896776
633,221,0,22.753578,13.774349
634,221,1,5.1832066,14.455464
635,221,2,3.3586984,17.808262
636,222,0,6.5825634,11.495633
637,222,1,6.0223093,15.209202
638,222,2,7.55355,12.148923
639,223,0,5.7203317,16.476648
640,223,1,6.757494,15.34747
641,223,2,3.2640724,12.390204
642,224,0,3.0555773,14.227661
643,224,1,7.9826913,13.261375
644,224,2,6.262226,13.166544
645,225,0,4.101282,14.093576
646,225,1,4.745226,13.922413
647,225,2,5.5632963,12.7320385
648,226,0,19.16801,13.605147
649,226,1,4.532651,11.83474
650,226,2,5.235858,12.547704
651,227,0,4.308836,11.275986
652,227,1,4.7587776,14.243286
653,227,2,5.302369,8.699248
654,228,0,16.181381,12.635408
655,228,1,2.9980702,14.305843
656,228,2,3.0029762,20.139742
657,229,0,12.006939,13.319414
658,229,1,5.87512,11.780976
659,229,2,6.209625,11.352167
660,230,0,7.1750774,11.978268
661,230,1,8.527727,13.843055
662,230,2,5.674576,14.239464
663,231,0,17.263443,11.345894
664,231,1,3.092713,14.723403
665,231,2,3.998651,14.907218
666,232,0,5.213504,16.973896
667,232,1,4.3480983,13.311307
668,232,2,4.541896,16.346224
669,233,0,8.0708065,14.86235
670,233,1,9.228411,12.141509
